시도명,시군명,승용차,승합차,화물차,특수차,계
강원,태백시,"16,682",763,"3,586",188,"21,219"
강원,평창군,"18,121",871,"8,869",165,"28,026"
강원,홍천군,"28,830","1,535","12,366",265,"42,996"
강원,화천군,"10,063",386,"3,455",91,"13,995"
강원,횡성군,"20,323",933,"9,044",198,"30,498"
강원,계,"682,229","23,819","165,266","5,655","876,969"
전북,고창군,"20,704","1,406","11,097",176,"33,383"
전북,군산시,"119,543","3,502","22,690","1,252","146,987"
전북,김제시,"35,844","1,668","14,981",426,"52,919"
전북,남원시,"30,492","1,383","13,112",281,"45,268"
전북,무주군,"9,173",552,"4,765",91,"14,581"
전북,부안군,"19,408",961,"9,073",175,"29,617"
전북,순창군,"10,811",456,"5,422",76,"16,765"
전북,완주군,"48,231","2,105","14,992",523,"65,851"
전북,익산시,"118,143","4,315","27,634",899,"150,991"
전북,임실군,"9,967",535,"5,319",95,"15,916"
전북,장수군,"8,050",396,"4,653",77,"13,176"
전북,전주시 덕진구,"154,122","4,261","21,669",994,"181,046"
전북,전주시 완산구,"139,378","3,684","17,502",638,"161,202"
전북,정읍시,"43,130","1,798","15,961",386,"61,275"
전북,진안군,"10,033",542,"5,277",88,"15,940"
전북,계,"777,029","27,564","194,147","6,177","1,004,917"
